Valeur,Texte
aloe_vera,Aloe vera
apple,Pomme
apple_brown,Pomme rustique
apple_green,Pomme verte
apple_red,Pomme rouge
apple_yellow,Pomme jaune
apricot,Abricot
artichoke,Artichaut
asparagus,Asperge
aubergine,Aubergines
avocado,Avocats
bananas,Bananes
basil,Basilic
bay_leaf,Laurier
bean_broad,Fèves
beet,Betterave
blackberry,Mûres
blueberry,Myrtilles
broccoli,Brocolis
butternut,Butternut
cabbages_cauliflower,Choux-fleurs
cabbages_green,Choux Verts
cabbage_chinese,Choux chinois
cabbage_kohlrabi,Chou-rave
cabbage_romanesco,Choux Romanesco
carambola,Carambole
carrot,Carottes
celeriac,Céleri-rave
celery,Céleri-branche
chard,Blette
chayote,Chayotte
cherry,Cerises
chervil,Cerfeuil
chestnuts,Marron / Chataîgne
chili_pepper,Piments
chirimoya,Anones
chives,Ciboulette
clementine_mandarin,Clémentines / Mandarines
coconut,Noix de coco
coriander,Coriandre
corn,Maïs
courgette,Courgettes
courgette_round,Courgettes rondes
cucumber,Concombres
dates_fruit,Dattes
dill,Aneth
dragon_fruit,Fruit du dragon / Pitaya
endive,Endives
fennel,Fenouils
figs,Figues
finger_lime,Citron Caviar
garlic,Ail
ginger,Gingembre
grapefruit,Pomelos
grapes,Raisins
green_bean,Haricot Verts
guava,Goyave
gumbo,Gombo
heirloom_tomatoes,Tomates anciennes
iceberg,Salade Iceberg
kiwi,Kiwi
kumquat,Kumquat
leek,Poireau
lemon,Citrons
lettuces_castelfranco,Salades Castelfranco
lettuces_trevise,Salades Trévise
lime,Limes / Citrons verts
lychee,Litchi
mango,Mangues
manioc,Manioc
marjoram,Marjolaine
medlar,Nèfles
melon,Melons
mint,Menthe
nectarine,Nectarines
onions,Oignons
onion_small_white,Oignon blanc
orange,Oranges
papaya,Papaye
paris_mushroom,Champignon de Paris
parsley,Persil
passion_fruit,Fruit de la passion
pea,Petits pois
peach,Pêches
pear,Poires
pepper,Poivrons
persimmon,Kaki
physalis,Physalis
pineapple,Ananas
plum,Prunes
pomegranate,Grenade
potatoes,Pommes de terre
radish,Radis
rambutan,Ramboutan
raspberry,Framboises
redcurrant,Groseilles
red_cabbage,Choux Rouges
red_kuri_squash,Potimarron
rosemary,Romarin
runner_bean,Haricots Coco / Plats
salad_batavia,Salade Batavia
salad_curly_endive,Salade Frisée
salad_escarole,Salade Scarole
salad_lettuces,Salade Laitue
salad_lollo,Salade Lollo
salad_oakleaf,Salade Feuille de chêne
salad_romaine,Salade Romaine
salad_sucrine,Sucrine
shallot,Echalotte
spinach,Epinards
strawberry,Fraises
sweet_potatoes,Patates douces
thyme,Thym
tomatoes_ribbed,Tomates Côtelées
Tomatoes_roma,Tomates Allongées / Roma
tomato_baby_plum,Tomates Olivettes
tomato_beef,Tomates Beef
tomato_cherry,Tomates Cerises
tomato_cherry_on_the_vine,Tomates cocktail
tomato_mix,Tomates Mélangées
tomato_round,Tomates rondes
tomato_vine,Tomates grappe
turmeric,Curcuma
turnip,Navets
vanilla,Vanille
walnut,Noix
watercress,Cresson
watermelon,Pastèque
white_cabbage,Choux Blancs
yam,Igname
