Valeur,Texte
apricot,Abricot
apricot_jam,Abricot Confiture
apricot_colorado,Abricots Colorado
apricot_flopia,Abricots Flopria
apricot_kosmos,Abricots Kosmos
apricot_magic_cot,Abricots Magic Cot
apricot_mikado,Abricots Mikado
apricot_mirlo_naranja,Abricots Mirlo Naranja
apricot_mogador,Abricots Mogador
garlic_white,Ail Blanc
garlic_pink,Ail Rose
garlic_purple,Ail Violet
aloe_vera,Aloe vera
pineapple,Ananas
pineapple_cayenne,Ananas Cayenne
pineapple_extra_sweet,Ananas Extra Sweet
dill,Aneth
chirimoya,Anones
artichoke,Artichaut
artichoke_white,Artichaut Blanc
artichoke_bouquet_opera,Artichaut Bouquet Opéra
artichoke_calico,Artichaut Calico
artichoke_green_queen,Artichaut Green Queen
artichoke_violet,Artichaut Violet
artichoke_purple_bouquet,Artichaut Violet Bouquet
artichoke_purple_romanesco,Artichaut Violet Romanesco
asparagus_green,Asperge verte
white_asparagus,Asperges blanches
asparagus_white_violet,Asperges blanches/violettes
green_asparagus,Asperges vertes
asparagus_violet,Asperges violettes
aubergine_japanese,Aubergine Japonaise
aubergine,Aubergines
aubergine_angela,Aubergines Angela
aubergine_long_thin,Aubergines Fines Longues
aubergine_graffity,Aubergines Graffiti
aubergine_black,Aubergines Noires
aubergine_perlines,Aubergines Perlines
aubergine_violet_round,Aubergines rondes violettes
aubergine_striped,Aubergines zébrées
avocado_hass,Avocat Hass
avocado,Avocats
avocado_bacon,Avocats Bacon
avocado_fuerte,Avocats Fuerte
bananas,Bananes
bananas_canari,Bananes Canari
bananas_cavendish,Bananes Cavendish
basil,Basilic
beet_chioggia,Betterave Chioggia
beet_round_red,Betterave Ronde Rouge
chard,Blette
chard_multicolor,Blette multicolores
broccoli,Brocolis
broccoli_ice,Brocolis glace
butternut,Butternut
carambola,Carambole
carrot,Carottes
carrot_washed,Carottes lavées
carrot_multicolor,Carottes multicolores
carrot_unwashed,Carottes non-lavées
celery,Céleri-branche
celery_mini,Céleri-branche mini
celeriac_leaf,Céleri-rave feuilles
celeriac_naked,Céleri-rave nus
chervil,Cerfeuil
cherry,Cerises
cherry_brooks,Cerises - Brooks
cherry_burlat,Cerises Burlat
cherry_celeste,Cerises Celeste
cherry_rabbit,Cerises Lapin
cherry_liza_queen,Cerises Liza Queen
cherry_santina,Cerises Santina
cherry_starking,Cerises Starking
cherry_sweet_heart,Cerises Sweet Heart
chayote,Chayotte
cabbage_kohlrabi_verde,Chou-rave vert
cabbage_kohlrabi_purple,Chou-rave violet
white_cabbage,Choux Blancs
cabbage_chinese,Choux chinois
cabbage_chinese_filmed,Choux chinois filmé
cabbage_chinese_naked,Choux chinois nus
cabbage_romanesco,Choux Romanesco
red_cabbage,Choux Rouges
cabbages_cauliflower,Choux-fleurs
cabbages_cauliflower_cambayas,Choux-fleurs Cambayas
cabbages_cauliflower_orange,Choux-fleurs Oranges
cabbages_cauliflower_orange_filmed,Choux-fleurs Oranges filmé
cabbages_cauliflower_purple,Choux-fleurs Violets
cabbages_cauliflower_purple_filmed,Choux-fleurs Violets filmé
chives,Ciboulette
finger_lime,Citron Caviar
lemon,Citrons
lemon_eureka,Citrons Eureka
lemon_leaf,Citrons feuilles
lemon_eureka_leaf,Citrons feuilles Eureka
lemon_lunario_leaf,Citrons feuilles Lunario
lemon_lunario,Citrons Lunario
lemon_mayer,Citrons Mayer
lemon_primofiori,Citrons Primofiori
lemon_primofiori_leaf,Citrons Primofiori feuilles
lemon_verdelli,Citrons Verdelli
lemon_verna,Citrons Verna
clementine_nadorcott_leaf,Clémentine feuilles Nadorcott
clementine_oronules_leaf,Clémentine feuilles Oronules
